2017,1,4,22,-72,-183,10185,270,82,2,0,-9999
2017,1,4,23,-83,-183,10190,270,57,4,0,-9999
2017,1,5,0,-89,-178,10196,270,57,-9999,0,-9999
2017,1,5,1,-100,-183,10195,280,62,-9999,0,-9999
2017,1,5,2,-106,-183,10195,280,62,-9999,0,-9999
2017,1,5,3,-106,-183,10192,280,67,8,0,-9999
2017,1,5,4,-111,-178,10196,260,62,-9999,0,-9999
2017,1,5,5,-117,-178,10199,260,62,-9999,0,-9999
2017,1,5,6,-122,-183,10195,280,51,-9999,0,-9999
2017,1,5,7,-128,-189,10193,300,62,-9999,0,-9999
2017,1,5,8,-128,-194,10199,280,62,-9999,0,-9999
2017,1,5,9,-133,-194,10197,290,57,8,0,-9999
2017,1,5,10,-133,-194,10200,280,51,-9999,0,-9999
2017,1,5,11,-133,-200,10200,290,41,-9999,0,-9999
2017,1,5,12,-133,-194,10204,290,46,-9999,-1,-1
2017,1,5,13,-133,-200,10202,300,36,-9999,-1,-9999
2017,1,5,14,-133,-194,10203,290,41,-9999,0,-9999
2017,1,5,15,-133,-194,10208,290,46,6,0,-9999
2017,1,5,16,-117,-189,10209,290,41,4,0,-9999
2017,1,5,17,-111,-189,10205,270,51,-9999,0,-9999
2017,1,5,18,-106,-189,10197,270,72,-9999,0,-1
2017,1,5,19,-111,-189,10187,300,77,-9999,0,-9999
2017,1,5,20,-100,-194,10181,280,82,-9999,0,-9999
2017,1,5,21,-94,-183,10182,290,46,6,0,-9999
2017,1,5,22,-100,-183,10188,280,51,-9999,0,-9999
2017,1,5,23,-111,-183,10192,280,57,-9999,-1,-9999
2017,1,6,0,-117,-183,10198,280,67,-9999,-1,-1
2017,1,6,1,-117,-194,10203,290,51,2,-1,-9999
2017,1,6,2,-128,-206,10207,290,46,0,0,-9999
2017,1,6,3,-133,-211,10214,300,51,0,0,-9999
2017,1,6,4,-139,-206,10217,290,46,2,0,-9999
2017,1,6,5,-144,-211,10218,300,57,2,0,-9999
2017,1,6,6,-144,-217,10219,310,51,4,0,-1
2017,1,6,7,-150,-222,10224,300,36,2,0,-9999
2017,1,6,8,-156,-222,10232,300,36,2,0,-9999
2017,1,6,9,-156,-217,10233,300,46,4,0,-9999
2017,1,6,10,-167,-222,10235,280,57,2,0,-9999
2017,1,6,11,-167,-222,10241,300,41,2,0,-9999
2017,1,6,12,-167,-233,10243,300,41,0,0,-9999
2017,1,6,13,-172,-233,10258,280,36,2,0,-9999
2017,1,6,14,-167,-222,10266,260,46,2,0,-9999
2017,1,6,15,-161,-222,10268,290,51,2,0,-9999
2017,1,6,16,-150,-222,10278,260,51,2,0,-9999
2017,1,6,17,-139,-217,10277,280,51,4,0,-9999
2017,1,6,18,-133,-217,10275,270,51,4,0,-9999
2017,1,6,19,-122,-206,10272,250,46,-9999,0,-9999
2017,1,6,20,-128,-211,10272,280,31,-9999,0,-9999
2017,1,6,21,-133,-222,10278,280,46,6,0,-9999
2017,1,6,22,-133,-217,10283,290,31,4,0,-9999
2017,1,6,23,-139,-222,10293,270,31,4,0,-9999
2017,1,7,0,-139,-228,10297,280,46,2,0,-9999
2017,1,7,1,-144,-222,10307,290,36,0,0,-9999
2017,1,7,2,-150,-222,10308,310,36,0,0,-9999
2017,1,7,3,-156,-228,10320,290,26,0,0,-9999
2017,1,7,4,-156,-228,10324,290,46,0,0,-9999
2017,1,7,5,-161,-228,10327,290,36,0,0,-9999
2017,1,7,6,-161,-228,10331,290,26,0,0,-9999
2017,1,7,7,-161,-228,10331,270,21,0,0,-9999
2017,1,7,8,-161,-222,10337,280,21,0,0,-9999
2017,1,7,9,-161,-222,10342,280,26,0,0,-9999
2017,1,7,10,-161,-222,10341,290,31,0,0,-9999
2017,1,7,11,-161,-222,10338,290,31,0,0,-9999
2017,1,7,12,-161,-222,10341,300,26,2,0,-9999
2017,1,7,13,-161,-217,10348,280,31,2,0,-9999
2017,1,7,14,-156,-211,10353,260,31,4,0,-9999
2017,1,7,15,-144,-200,10357,210,21,2,0,-9999
